id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
en_1007	Save the whales, he spouted.	spouted	homographic	spouted	ERROR		[]	[]
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense	ERROR		[]	[]
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill	ERROR		[]	[]
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater	ERROR		[]	[]
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in	ERROR		[]	[]
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet	ERROR		[]	[]
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell	ERROR		[]	[]
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly	ERROR		[]	[]
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	ERROR		[]	[]
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing	ERROR		[]	[]
en_108	Old bakers never die, they just stop making lots of dough.	dough	homographic	dough	ERROR		[]	[]
en_1084	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu	ERROR		[]	[]
en_1085	After he bought a mirror he became very reflective.	reflective	homographic	reflective	ERROR		[]	[]
en_110	This food tastes of plutonium, he said glowingly.	glowingly	homographic	glowingly	ERROR		[]	[]
en_1106	Old typists never die, they just lose their touch.	touch	homographic	touch	ERROR		[]	[]
en_1107	This salad dressing has too much vinegar, he said acidly.	acidly	homophonic	acid	ERROR		[]	[]
en_111	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly	ERROR		[]	[]
en_1120	Old politicians never die, they just harangue in there.	harangue	homophonic	hang	ERROR		[]	[]
en_1121	Some people find fire drills quite Alarming.	alarming	homophonic	alarm	ERROR		[]	[]
en_114	Old florists never die, they just make alternative arrangements.	arrangements	homographic	arrangements	ERROR		[]	[]
en_1144	Get the stick, Rover! he called fetchingly.	fetchingly	homophonic	fetch	ERROR		[]	[]
en_1146	The fire chief was always asked burning questions.	burning	homographic	burning	ERROR		[]	[]
en_1157	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat	ERROR		[]	[]
en_116	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	serious	ERROR		[]	[]
en_1160	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	bow	ERROR		[]	[]
en_1169	Old professors never die, they just lose their class.	class	homographic	class	ERROR		[]	[]
en_1171	Pasteur was boiling about not being invited.	boiling	homographic	boiling	ERROR		[]	[]
en_1176	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	point	ERROR		[]	[]
en_1178	Cooks have a lot of spice in their lives.	spice	homographic	spice	ERROR		[]	[]
en_1181	Old tree surgeons never die, they are just uprooted.	uprooted	homographic	uprooted	ERROR		[]	[]
en_1184	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	brakes	ERROR		[]	[]
en_1195	Old plumbers never die, they just pipe down.	pipe	homographic	pipe	ERROR		[]	[]
en_1204	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	lap	ERROR		[]	[]
en_1210	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	under	ERROR		[]	[]
en_1211	A little boy called his father who made balloons 'pop'.	pop	homographic	pop	ERROR		[]	[]
en_1223	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	cures	ERROR		[]	[]
en_1227	He recommended the restaurant to me, and said he had no reservations.	reservations	homographic	reservations	ERROR		[]	[]
en_1231	The mortician was late for dinner because he was buried in his work.	buried	homographic	buried	ERROR		[]	[]
en_1232	Old enumerators never die, they just lose their census	census	homophonic	senses	ERROR		[]	[]
en_1233	The class took a field trip to a meat processing plant, but what they saw was just offal.	offal	homophonic	awful	ERROR		[]	[]
en_1248	Old pilots never die, they just get more turbulent.	turbulent	homographic	turbulent	ERROR		[]	[]
en_1249	Use your own toothbrush! he bristled.	bristled	homographic	bristled	ERROR		[]	[]
en_1252	My wife really likes to make pottery, but to me it's just kiln time.	kiln	homophonic	killing	ERROR		[]	[]
en_1254	I won't tell you anything about my salivary glands, he said secretively.	secretively	homophonic	secrete	ERROR		[]	[]
en_1256	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	homographic	degree	ERROR		[]	[]
en_1262	People have a happy time vacationing in Ireland because they are walking on Eire.	eire	homophonic	air	ERROR		[]	[]
en_1269	Who's your favorite operatic tenor? he asked placidly.	placidly	homophonic	placido	ERROR		[]	[]
en_1270	The salt said 'hi' to the pepper. It was seasonings greetings.	seasonings	homophonic	seasons	ERROR		[]	[]
en_1271	The book about Teflon contained no frictional characters.	frictional	homophonic	fictional	ERROR		[]	[]
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	homographic	opposed	ERROR		[]	[]
en_1279	If you spend too much time in the coffee shop you'll be latte for work.	latte	homophonic	late	ERROR		[]	[]
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	galleon	homophonic	gallon	ERROR		[]	[]
en_1283	Some resist having the'flu jab but it's quite innocuous.	innocuous	homophonic	inoculate	ERROR		[]	[]
en_1294	Pretend we were in the days before railways, he coached.	coached	homophonic	coach	ERROR		[]	[]
en_1303	Old principals never die they just lose their faculties.	faculties	homographic	faculties	ERROR		[]	[]
en_1305	Old railroaders never die, they just derail.	derail	homographic	derail	ERROR		[]	[]
en_1310	He bought a plate with four corners so he could have a square meal.	square	homographic	square	ERROR		[]	[]
en_1330	Because they moved into an apartment, they didn't need to cut the grass any mow.	mow	homophonic	more	ERROR		[]	[]
en_1335	Gravity, it's always putting everyone down.	putting	homographic	putting	ERROR		[]	[]
en_1345	The scorpion said to the desert, 'You know, our conversations are always so dry.'	dry	homographic	dry	ERROR		[]	[]
en_1347	A busy barber is quite harried.	harried	homophonic	hairy	ERROR		[]	[]
en_1349	The gunman took a shot at new opportunities.	shot	homographic	shot	ERROR		[]	[]
en_135	The cobbler was asked how many shoes he had soled by a well	soled	homophonic	sold	ERROR		[]	[]
en_1350	Legends tell us that a weakness of the carnivorous vampire is a steak.	steak	homophonic	stake	ERROR		[]	[]
en_1354	To become a pilot requires a good altitude.	altitude	homophonic	attitude	ERROR		[]	[]
en_1355	I teach at a university, he professed.	professed	homophonic	professor	ERROR		[]	[]
en_136	When there's a sale on tennis balls it's first come first serve.	serve	homographic	serve	ERROR		[]	[]
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	homographic	shocking	ERROR		[]	[]
en_1364	From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident.	occident	homophonic	accident	ERROR		[]	[]
en_1368	When making butter there is little margarine for error.	margarine	homophonic	margin	ERROR		[]	[]
en_1370	Old chemists never die, they just stop reacting.	reacting	homographic	reacting	ERROR		[]	[]
en_1373	The model who joined the air force was a bombshell.	bombshell	homographic	bombshell	ERROR		[]	[]
en_1376	Abstinence makes the heart grow fonder	abstinence	homophonic	absence 	ERROR		[]	[]
en_1378	It's not that the man did not know how to juggle, he just didn't have the balls to do it.	balls	homographic	balls	ERROR		[]	[]
en_1382	Two coin collectors got together for old dimes sake.	dimes	homophonic	times	ERROR		[]	[]
en_1383	It's an actual parameter, not a formal parameter, was his argument.	argument	homographic	argument	ERROR		[]	[]
en_1386	3.14159265, he said piously.	piously	homophonic	pi	ERROR		[]	[]
en_1388	An astronomy column in the newspaper would have a lot of space devoted to it.	space	homographic	space	ERROR		[]	[]
en_1399	Old shoemakers never die, they are just given the boot.	boot	homographic	boot	ERROR		[]	[]
en_14	One of these new shoes isn't right.	right	homographic	right	ERROR		[]	[]
en_140	The postmen get together for mail bonding.	mail	homophonic	male	ERROR		[]	[]
en_1400	Let's take a vacation in the south of France, he said nicely.	nicely	homophonic	Nice	ERROR		[]	[]
en_1404	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	pullet	homophonic	bullet	ERROR		[]	[]
en_1415	Even though Catholics in space are weightless, do they have mass?	mass	homographic	mass	ERROR		[]	[]
en_1418	Old telephone operators never die, they just become disconnected.	disconnected	homographic	disconnected	ERROR		[]	[]
en_1419	A guy became so good with a chainsaw that he was promoted to branch manager.	branch	homographic	branch	ERROR		[]	[]
en_1421	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	iris	homophonic	irish	ERROR		[]	[]
en_1427	Old math profs never die. They just use strange expressions.	expressions	homographic	expressions	ERROR		[]	[]
en_143	Q: River Ravi flows in which state? A: Liquid.	state	homographic	state	ERROR		[]	[]
en_1432	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	torrance	homophonic	torrents	ERROR		[]	[]
en_1436	Wow, thanks for the tea. I'm glad I got to Chai it.	Chai	homophonic	try	ERROR		[]	[]
en_1440	After he invented the light bulb, people saw Edison in a new light.	light	homographic	light	ERROR		[]	[]
en_1446	A bee keeper will sell you honey with swarm wishes.	swarm	homophonic	warm	ERROR		[]	[]
en_1448	An architect knows how to make a long storey short.	storey	homophonic	story	ERROR		[]	[]
en_1449	Old electricians never die, they just can't make connections	connections	homographic	connections	ERROR		[]	[]
en_1464	Boy, that's a bright star, he said seriously.	seriously	homophonic	sirius	ERROR		[]	[]
en_1467	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	mine	homophonic	mind	ERROR		[]	[]
en_1468	Freud could barely repress his excitement.	repress	homophonic	suppress	ERROR		[]	[]
en_1475	Old miners never die, they just lose their veins.	veins	homophonic	vains	ERROR		[]	[]
en_1485	If you think that mutt made strange sounds as a pup, you should hear him grown.	grown	homophonic	groan	ERROR		[]	[]
en_149	If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief.	relief	homographic	relief	relief	homographic	['topography', 'elevation', 'contour', 'terrain', 'projection']	['reassurance', 'comfort', 'solace', 'ease', 'exhalation']
